Rule_ID,antecedents,consequents,support,confidence,lift,RuleText
1,Alfajores,Bread,0.01,0.285,0.871,Rule 1: Alfajores -> Bread
2,Bread,Alfajores,0.01,0.032,0.871,Rule 2: Bread -> Alfajores
3,Alfajores,Brownie,0.003,0.078,1.96,Rule 3: Alfajores -> Brownie
4,Brownie,Alfajores,0.003,0.071,1.96,Rule 4: Brownie -> Alfajores
5,Alfajores,Cake,0.004,0.113,1.092,Rule 5: Alfajores -> Cake
6,Cake,Alfajores,0.004,0.04,1.092,Rule 6: Cake -> Alfajores
7,Alfajores,Coffee,0.02,0.541,1.13,Rule 7: Alfajores -> Coffee
8,Coffee,Alfajores,0.02,0.041,1.13,Rule 8: Coffee -> Alfajores
9,Alfajores,Cookies,0.002,0.067,1.229,Rule 9: Alfajores -> Cookies
10,Cookies,Alfajores,0.002,0.045,1.229,Rule 10: Cookies -> Alfajores
11,Alfajores,Hot chocolate,0.004,0.099,1.695,Rule 11: Alfajores -> Hot chocolate
12,Hot chocolate,Alfajores,0.004,0.062,1.695,Rule 12: Hot chocolate -> Alfajores
13,Alfajores,Juice,0.003,0.084,2.186,Rule 13: Alfajores -> Juice
14,Juice,Alfajores,0.003,0.079,2.186,Rule 14: Juice -> Alfajores
15,Alfajores,Medialuna,0.003,0.087,1.411,Rule 15: Alfajores -> Medialuna
16,Medialuna,Alfajores,0.003,0.051,1.411,Rule 16: Medialuna -> Alfajores
17,Alfajores,Mineral water,0.001,0.035,2.464,Rule 17: Alfajores -> Mineral water
18,Mineral water,Alfajores,0.001,0.09,2.464,Rule 18: Mineral water -> Alfajores
19,Alfajores,Muffin,0.002,0.047,1.209,Rule 19: Alfajores -> Muffin
20,Muffin,Alfajores,0.002,0.044,1.209,Rule 20: Muffin -> Alfajores
21,Alfajores,Pastry,0.003,0.09,1.046,Rule 21: Alfajores -> Pastry
22,Pastry,Alfajores,0.003,0.038,1.046,Rule 22: Pastry -> Alfajores
23,Alfajores,Sandwich,0.003,0.073,1.011,Rule 23: Alfajores -> Sandwich
24,Sandwich,Alfajores,0.003,0.037,1.011,Rule 24: Sandwich -> Alfajores
25,Alfajores,Scandinavian,0.001,0.041,1.401,Rule 25: Alfajores -> Scandinavian
26,Scandinavian,Alfajores,0.001,0.051,1.401,Rule 26: Scandinavian -> Alfajores
27,Alfajores,Scone,0.001,0.038,1.094,Rule 27: Alfajores -> Scone
28,Scone,Alfajores,0.001,0.04,1.094,Rule 28: Scone -> Alfajores
29,Alfajores,Spanish Brunch,0.001,0.029,1.6,Rule 29: Alfajores -> Spanish Brunch
30,Spanish Brunch,Alfajores,0.001,0.058,1.6,Rule 30: Spanish Brunch -> Alfajores
31,Alfajores,Tea,0.007,0.186,1.304,Rule 31: Alfajores -> Tea
32,Tea,Alfajores,0.007,0.047,1.304,Rule 32: Tea -> Alfajores
33,Alfajores,Truffles,0.001,0.032,1.576,Rule 33: Alfajores -> Truffles
34,Truffles,Alfajores,0.001,0.057,1.576,Rule 34: Truffles -> Alfajores
35,Art Tray,Coffee,0.003,0.684,1.43,Rule 35: Art Tray -> Coffee
36,Coffee,Art Tray,0.003,0.006,1.43,Rule 36: Coffee -> Art Tray
37,Tea,Art Tray,0.001,0.008,2.029,Rule 37: Tea -> Art Tray
38,Art Tray,Tea,0.001,0.289,2.029,Rule 38: Art Tray -> Tea
39,Baguette,Bread,0.003,0.171,0.523,Rule 39: Baguette -> Bread
40,Bread,Baguette,0.003,0.008,0.523,Rule 40: Bread -> Baguette
41,Bakewell,Bread,0.001,0.229,0.7,Rule 41: Bakewell -> Bread
42,Bread,Bakewell,0.001,0.004,0.7,Rule 42: Bread -> Bakewell
43,Bakewell,Coffee,0.003,0.604,1.263,Rule 43: Bakewell -> Coffee
44,Coffee,Bakewell,0.003,0.006,1.263,Rule 44: Coffee -> Bakewell
45,Bakewell,Tea,0.001,0.25,1.753,Rule 45: Bakewell -> Tea
46,Tea,Bakewell,0.001,0.009,1.753,Rule 46: Tea -> Bakewell
47,Brownie,Bread,0.011,0.269,0.822,Rule 47: Brownie -> Bread
48,Bread,Brownie,0.011,0.033,0.822,Rule 48: Bread -> Brownie
49,Cake,Bread,0.023,0.225,0.687,Rule 49: Cake -> Bread
50,Bread,Cake,0.023,0.071,0.687,Rule 50: Bread -> Cake
51,Bread,Chicken Stew,0.003,0.008,0.646,Rule 51: Bread -> Chicken Stew
52,Chicken Stew,Bread,0.003,0.211,0.646,Rule 52: Chicken Stew -> Bread
53,Bread,Coffee,0.09,0.275,0.575,Rule 53: Bread -> Coffee
54,Coffee,Bread,0.09,0.188,0.575,Rule 54: Coffee -> Bread
55,Cookies,Bread,0.014,0.266,0.813,Rule 55: Cookies -> Bread
56,Bread,Cookies,0.014,0.044,0.813,Rule 56: Bread -> Cookies
57,Bread,Eggs,0.001,0.005,1.528,Rule 57: Bread -> Eggs
58,Eggs,Bread,0.001,0.5,1.528,Rule 58: Eggs -> Bread
59,Bread,Extra Salami or Feta,0.001,0.003,0.804,Rule 59: Bread -> Extra Salami or Feta
60,Extra Salami or Feta,Bread,0.001,0.263,0.804,Rule 60: Extra Salami or Feta -> Bread
61,Bread,Focaccia,0.002,0.006,1.075,Rule 61: Bread -> Focaccia
62,Focaccia,Bread,0.002,0.352,1.075,Rule 62: Focaccia -> Bread
63,Frittata,Bread,0.003,0.309,0.943,Rule 63: Frittata -> Bread
64,Bread,Frittata,0.003,0.008,0.943,Rule 64: Bread -> Frittata
65,Bread,Fudge,0.003,0.01,0.667,Rule 65: Bread -> Fudge
66,Fudge,Bread,0.003,0.218,0.667,Rule 66: Fudge -> Bread
67,Hearty & Seasonal,Bread,0.003,0.25,0.764,Rule 67: Hearty & Seasonal -> Bread
68,Bread,Hearty & Seasonal,0.003,0.008,0.764,Rule 68: Bread -> Hearty & Seasonal
69,Hot chocolate,Bread,0.013,0.23,0.703,Rule 69: Hot chocolate -> Bread
70,Bread,Hot chocolate,0.013,0.041,0.703,Rule 70: Bread -> Hot chocolate
71,Bread,Jam,0.005,0.015,1.033,Rule 71: Bread -> Jam
72,Jam,Bread,0.005,0.338,1.033,Rule 72: Jam -> Bread
73,Bread,Jammie Dodgers,0.005,0.014,1.076,Rule 73: Bread -> Jammie Dodgers
74,Jammie Dodgers,Bread,0.005,0.352,1.076,Rule 74: Jammie Dodgers -> Bread
75,Bread,Juice,0.007,0.023,0.586,Rule 75: Bread -> Juice
76,Juice,Bread,0.007,0.192,0.586,Rule 76: Juice -> Bread
77,Keeping It Local,Bread,0.002,0.333,1.019,Rule 77: Keeping It Local -> Bread
78,Bread,Keeping It Local,0.002,0.007,1.019,Rule 78: Bread -> Keeping It Local
79,Bread,Medialuna,0.017,0.052,0.836,Rule 79: Bread -> Medialuna
80,Medialuna,Bread,0.017,0.274,0.836,Rule 80: Medialuna -> Bread
81,Mineral water,Bread,0.003,0.224,0.684,Rule 81: Mineral water -> Bread
82,Bread,Mineral water,0.003,0.01,0.684,Rule 82: Bread -> Mineral water
83,Muffin,Bread,0.008,0.212,0.646,Rule 83: Muffin -> Bread
84,Bread,Muffin,0.008,0.025,0.646,Rule 84: Bread -> Muffin
85,Bread,Pastry,0.029,0.089,1.035,Rule 85: Bread -> Pastry
86,Pastry,Bread,0.029,0.339,1.035,Rule 86: Pastry -> Bread
87,Bread,Salad,0.002,0.006,0.586,Rule 87: Bread -> Salad
88,Salad,Bread,0.002,0.192,0.586,Rule 88: Salad -> Bread
89,Bread,Sandwich,0.017,0.052,0.724,Rule 89: Bread -> Sandwich
90,Sandwich,Bread,0.017,0.237,0.724,Rule 90: Sandwich -> Bread
91,Bread,Scandinavian,0.007,0.02,0.689,Rule 91: Bread -> Scandinavian
